continent,country,population,active_cases,total_tests,total_deaths
Africa,Eritrea,3662244.0,0.0,23693.0,103.0
Africa,Niger,26083660.0,729.0,254538.0,312.0
Africa,Saint-Helena,6115.0,2164.0,,
South-America,Falkland-Islands,3539.0,0.0,8632.0,
North-America,Montserrat,4965.0,19.0,17762.0,8.0
Asia,Diamond-Princess,,0.0,,13.0
Europe,Vatican-City,799.0,0.0,,
Africa,Western-Sahara,626161.0,0.0,,1.0
,MS-Zaandam,,0.0,,2.0
Asia,China,1448471400.0,118977.0,160000000.0,5272.0
Africa,Liberia,5305117.0,12.0,139824.0,295.0
Oceania,Nauru,10903.0,45.0,20509.0,1.0
North-America,Caribbean-Netherlands,26647.0,1168.0,30126.0,38.0
Africa,Comoros,907419.0,9.0,,161.0
Africa,Guinea-Bissau,2063367.0,508.0,145231.0,177.0
Africa,Chad,17413580.0,2633.0,191341.0,194.0
North-America,Sint-Maarten,43966.0,54.0,62056.0,92.0
Oceania,Wallis-and-Futuna,10982.0,3104.0,20508.0,8.0
North-America,St-Barth,9945.0,,78646.0,6.0
North-America,Saint-Kitts-and-Nevis,53871.0,0.0,126958.0,48.0
Oceania,Tokelau,1378.0,80.0,,
Oceania,Kiribati,123419.0,2358.0,,24.0
North-America,St-Vincent-Grenadines,111551.0,57.0,114197.0,124.0
North-America,Antigua-and-Barbuda,99509.0,6.0,18901.0,146.0
Africa,Sierra-Leone,8306436.0,,259958.0,126.0
North-America,British-Virgin-Islands,30596.0,,107339.0,64.0
Oceania,Cook-Islands,17571.0,51.0,19690.0,2.0
Africa,Sao-Tome-and-Principe,227679.0,13.0,29600.0,80.0
North-America,Turks-and-Caicos,39741.0,3.0,616788.0,40.0
Oceania,Palau,18233.0,4.0,71434.0,10.0
North-America,Anguilla,15230.0,,51382.0,12.0
North-America,Saint-Pierre-Miquelon,5759.0,1001.0,25400.0,2.0
Oceania,Tuvalu,12066.0,,,1.0
Oceania,Niue,1622.0,3.0,,
North-America,Cayman-Islands,67277.0,22882.0,222773.0,37.0
Africa,Congo,5797805.0,983.0,347815.0,386.0
North-America,Nicaragua,6779100.0,14041.0,,225.0
Asia,Tajikistan,9957464.0,397.0,,125.0
Africa,Djibouti,1016097.0,74.0,305941.0,189.0
North-America,Greenland,56973.0,9189.0,164926.0,21.0
Africa,Equatorial-Guinea,1496662.0,139.0,365697.0,183.0
Africa,Somalia,16841795.0,12791.0,400466.0,1361.0
North-America,Bermuda,61939.0,10.0,1029558.0,165.0
Africa,Gambia,2558482.0,65.0,155686.0,372.0
North-America,Grenada,113475.0,97.0,182981.0,238.0
Oceania,Vanuatu,321832.0,29.0,24976.0,14.0
Asia,Timor-Leste,1369429.0,220.0,278529.0,138.0
Africa,Lesotho,2175699.0,9435.0,431221.0,723.0
North-America,Haiti,11680283.0,73.0,132422.0,860.0
Europe,Faeroe-Islands,49233.0,,778000.0,28.0
Africa,Mali,21473764.0,89.0,804909.0,743.0
North-America,Saint-Lucia,185113.0,0.0,210983.0,410.0
Africa,Benin,12784726.0,26.0,604310.0,163.0
Asia,Macao,667490.0,24063.0,7850.0,123.0
Oceania,Micronesia,117489.0,,82430.0,65.0
Europe,San-Marino,34085.0,46.0,196855.0,128.0
Oceania,Solomon-Islands,721159.0,,,199.0
Africa,Burkina-Faso,22102838.0,118.0,248995.0,400.0
Europe,Liechtenstein,38387.0,,112457.0,94.0
Europe,Gibraltar,33704.0,,534283.0,113.0
Africa,South-Sudan,11618511.0,557.0,410280.0,147.0
Europe,Monaco,39783.0,,78646.0,67.0
Oceania,Samoa,202239.0,15370.0,187397.0,31.0
Oceania,Tonga,107749.0,1299.0,535009.0,13.0
Oceania,Marshall-Islands,60057.0,0.0,,17.0
North-America,Dominica,72344.0,0.0,229344.0,74.0
Africa,CAR,5016678.0,127.0,81294.0,113.0
North-America,Saint-Martin,39730.0,,112382.0,63.0
Asia,Yemen,31154867.0,662.0,329592.0,2159.0
North-America,Cura&ccedil;ao,165529.0,971.0,496693.0,295.0
Europe,Isle-of-Man,85732.0,,150753.0,116.0
South-America,French-Guiana,314169.0,86367.0,651257.0,420.0
Europe,Channel-Islands,176463.0,168.0,1252808.0,228.0
Africa,Mayotte,286259.0,,176919.0,188.0
North-America,Bahamas,400516.0,874.0,257839.0,844.0
Oceania,Fiji,909466.0,1006.0,672883.0,885.0
South-America,Suriname,596831.0,,242207.0,1408.0
North-America,Aruba,107609.0,1494.0,177885.0,292.0
Africa,Cameroon,27911548.0,125.0,1751774.0,1974.0
Europe,Malta,444033.0,386.0,2170600.0,885.0
North-America,Barbados,288023.0,1283.0,814159.0,648.0
Africa,Angola,35027343.0,1971.0,1499795.0,1937.0
Africa,DRC,95240792.0,13381.0,846704.0,1468.0
Africa,Malawi,20180839.0,,624784.0,2686.0
Africa,Senegal,17653671.0,58.0,1146543.0,1971.0
Africa,Ivory-Coast,27742298.0,52.0,1690934.0,835.0
Oceania,New-Caledonia,290915.0,,98964.0,314.0
Oceania,French-Polynesia,284164.0,,,650.0
Africa,Eswatini,1184817.0,648.0,1048704.0,1427.0
South-America,Guyana,794045.0,824.0,733218.0,1300.0
North-America,Belize,412190.0,,576016.0,688.0
Africa,Madagascar,29178077.0,198.0,531329.0,1426.0
Africa,Cabo-Verde,567678.0,305.0,401622.0,417.0
Africa,Sudan,45992020.0,0.0,562941.0,5046.0
Africa,Mauritania,4901981.0,380.0,1009957.0,997.0
Asia,Bhutan,787941.0,1112.0,2303734.0,21.0
Asia,Syria,19364809.0,0.0,146269.0,3165.0
Africa,Burundi,12624840.0,1114.0,345742.0,38.0
Africa,Seychelles,99426.0,0.0,,172.0
Africa,Gabon,2331533.0,70.0,1621909.0,307.0
Europe,Andorra,77463.0,,249838.0,165.0
Oceania,Papua-New-Guinea,9292169.0,26.0,249149.0,670.0
Africa,Tanzania,63298550.0,,,846.0
Africa,Mauritius,1274727.0,696.0,358675.0,1051.0
Africa,Togo,8680837.0,1.0,815204.0,290.0
Africa,Guinea,13865691.0,347.0,660107.0,468.0
Africa,Egypt,106156692.0,49228.0,3693367.0,24613.0
Asia,Uzbekistan,34382084.0,10539.0,1377915.0,1637.0
Asia,Kyrgyzstan,6728271.0,7500.0,1907195.0,2991.0
Asia,Qatar,2979915.0,147.0,4065369.0,690.0
Africa,Libya,7040745.0,2.0,2483848.0,6437.0
Africa,Ethiopia,120812698.0,5412.0,5565340.0,7574.0
Africa,R&eacute;union,908061.0,,1603660.0,921.0
North-America,Honduras,10221247.0,,1660662.0,11165.0
Asia,Armenia,2971966.0,7892.0,3242901.0,8777.0
Europe,Bosnia-and-Herzegovina,3249317.0,8143.0,1884721.0,16388.0
Asia,Oman,5323993.0,,25000000.0,4628.0
Europe,Luxembourg,642371.0,,4587145.0,1232.0
Europe,North-Macedonia,2081304.0,3523.0,2226216.0,9976.0
Africa,Zambia,19470234.0,3919.0,4112961.0,4069.0
Africa,Kenya,56215221.0,1132.0,3967062.0,5689.0
Asia,Brunei,445431.0,99893.0,717784.0,225.0
Europe,Albania,2866374.0,1025.0,1941032.0,3605.0
Africa,Botswana,2441162.0,788.0,2026898.0,2801.0
Europe,Montenegro,627950.0,1902.0,2769281.0,2846.0
Africa,Algeria,45350148.0,82068.0,230960.0,6881.0
Africa,Nigeria,216746934.0,4080.0,5708974.0,3155.0
Africa,Zimbabwe,15331428.0,1731.0,2525756.0,5740.0
Asia,Afghanistan,40754388.0,15098.0,1390730.0,7996.0
Africa,Mozambique,33089461.0,2676.0,1371127.0,2250.0
North-America,Martinique,374087.0,,828928.0,1102.0
Asia,Laos,7481023.0,,1233207.0,758.0
Europe,Iceland,345393.0,,1996384.0,229.0
North-America,Guadeloupe,399794.0,,938039.0,1021.0
North-America,El-Salvador,6550389.0,18215.0,2610114.0,4230.0
North-America,Trinidad-and-Tobago,1406585.0,28.0,913289.0,4390.0
Asia,Maldives,540985.0,22691.0,2213831.0,316.0
Africa,Namibia,2633874.0,1184.0,1062663.0,4106.0
Africa,Uganda,48432863.0,68086.0,3012408.0,3632.0
Africa,Ghana,32395450.0,2.0,2541625.0,1462.0
North-America,Jamaica,2985094.0,,1183986.0,3756.0
Asia,Cambodia,17168639.0,3.0,3091420.0,3056.0
Africa,Rwanda,13600464.0,11.0,6021981.0,1468.0
Europe,Belarus,9432800.0,1327.0,13646641.0,7118.0
South-America,Venezuela,29266991.0,302.0,3359014.0,5856.0
Asia,Kazakhstan,19205043.0,14963.0,11575012.0,13848.0
Europe,Ireland,5020199.0,170.0,13083449.0,9491.0
Asia,Pakistan,229488994.0,12583.0,30589153.0,30664.0
Europe,Finland,5554960.0,170.0,12108977.0,11958.0
Europe,Norway,5511370.0,0.0,11002430.0,6638.0
Europe,Lithuania,2661708.0,431.0,10540357.0,9897.0
Europe,Slovenia,2078034.0,22.0,2847701.0,7100.0
Europe,Bulgaria,6844597.0,8159.0,11671043.0,38748.0
Europe,Croatia,4059286.0,32609.0,5660084.0,18687.0
North-America,Guatemala,18584039.0,1113.0,7593848.0,20289.0
Africa,Morocco,37772756.0,,13001033.0,16303.0
Asia,Lebanon,6684849.0,145299.0,4795578.0,10952.0
North-America,Costa-Rica,5182354.0,,4659757.0,9428.0
South-America,Bolivia,11992656.0,12579.0,2710261.0,22407.0
Africa,Tunisia,12046656.0,,5013383.0,29423.0
North-America,Cuba,11305652.0,61.0,14402674.0,8530.0
South-America,Ecuador,18113361.0,0.0,3082403.0,36043.0
Asia,UAE,10081785.0,,200732262.0,2349.0
North-America,Panama,4446964.0,64.0,7882622.0,8727.0
South-America,Uruguay,3496016.0,2503.0,6114822.0,7664.0
Asia,Mongolia,3378078.0,0.0,4030048.0,2284.0
Asia,Nepal,30225582.0,97.0,6047766.0,12031.0
Europe,Latvia,1848837.0,4384.0,7885792.0,6715.0
Asia,Saudi-Arabia,35844909.0,,45481735.0,9646.0
South-America,Paraguay,7305843.0,,2657506.0,20155.0
Asia,Azerbaijan,10300205.0,745.0,7748050.0,10400.0
Asia,Bahrain,1783983.0,60.0,10948549.0,1574.0
Asia,Cyprus,1223387.0,0.0,9640118.0,1365.0
North-America,Dominican-Republic,11056370.0,190.0,3740928.0,4384.0
Asia,Sri-Lanka,21575842.0,5.0,6486117.0,16897.0
Asia,Kuwait,4380326.0,,8455743.0,2570.0
Asia,Myanmar,55227143.0,2219.0,11711514.0,19495.0
Europe,Moldova,4013171.0,,3216305.0,12218.0
Europe,Estonia,1321910.0,,6968103.0,3001.0
Asia,Palestine,5345541.0,159.0,3078533.0,5404.0
Asia,DPRK,25990679.0,0.0,,74.0
Asia,Jordan,10300869.0,1868.0,17201885.0,14122.0
Africa,South-Africa,60756135.0,61362.0,26795090.0,102595.0
Europe,Ukraine,43192122.0,0.0,32603805.0,112418.0
Asia,Taiwan,23888595.0,0.0,30742304.0,19005.0
South-America,Argentina,46010234.0,746.0,35716069.0,130841.0
Europe,Netherlands,17211447.0,195.0,25984435.0,22992.0
North-America,Mexico,131562772.0,467986.0,20013810.0,334958.0
Asia,Iran,86022837.0,,57320267.0,146811.0
Asia,Indonesia,279134505.0,20054.0,114158919.0,162063.0
Europe,Poland,37739785.0,,39323709.0,120598.0
South-America,Colombia,51512762.0,44821.0,36951507.0,143200.0
Europe,Greece,10316637.0,,102228365.0,37869.0
Europe,Austria,9066710.0,3811.0,211273524.0,22542.0
Europe,Portugal,10140570.0,127.0,46139518.0,28126.0
South-America,Chile,19250195.0,67906.0,50382097.0,64497.0
Asia,Malaysia,33181072.0,7790.0,68580916.0,37348.0
North-America,Canada,38388419.0,5744.0,66572774.0,59034.0
Europe,Belgium,11668278.0,521.0,37454182.0,34376.0
Asia,Israel,9326000.0,30592.0,41373364.0,12707.0
Asia,Thailand,70078203.0,42927.0,17273454.0,34586.0
Europe,Czechia,10736784.0,318.0,57834241.0,43517.0
South-America,Peru,33684208.0,0.0,39010194.0,222161.0
Europe,Switzerland,8773637.0,292.0,23833472.0,14452.0
Asia,Philippines,112508994.0,6138.0,36102746.0,66864.0
Europe,Romania,19031335.0,657.0,28758667.0,68929.0
Europe,Denmark,5834950.0,0.0,129333107.0,8814.0
Asia,Singapore,5943546.0,0.0,24756666.0,2024.0
Asia,Hong-Kong,7604299.0,6680.0,76127725.0,14924.0
Europe,Sweden,10218971.0,230.0,19500873.0,27407.0
Oceania,New-Zealand,4898203.0,1623.0,7768604.0,5697.0
Europe,Serbia,8653016.0,389.0,13463733.0,18057.0
Asia,Iraq,42164965.0,673.0,19544451.0,25375.0
Europe,Hungary,9606259.0,29029.0,11394556.0,49048.0
Asia,Bangladesh,167885689.0,,15254399.0,29493.0
Europe,Slovakia,5460193.0,0.0,7448789.0,21224.0
Asia,Georgia,3968738.0,,16920079.0,17132.0
Europe,Spain,46719142.0,30634.0,471036328.0,121760.0
North-America,North-America,,2528062.0,,1695941.0
Asia,Asia,,14273512.0,,1553662.0
Europe,Europe,,2550270.0,,2101824.0
South-America,South-America,,2149962.0,,1367332.0
Oceania,Oceania,,110368.0,,33015.0
Africa,Africa,,511224.0,,258892.0
All,All,,22123398.0,,7010681.0
North-America,USA,334805269.0,786167.0,1186851502.0,1219487.0
Asia,India,1406631776.0,,935879495.0,533570.0
Europe,France,65584518.0,0.0,271490188.0,167642.0
Europe,Germany,83883596.0,405368.0,122332384.0,183027.0
South-America,Brazil,215353593.0,1783377.0,63776166.0,711380.0
Asia,S-Korea,51329899.0,0.0,15804065.0,35934.0
Asia,Japan,125584838.0,,100414883.0,74694.0
Europe,Italy,60262770.0,165544.0,281126449.0,196487.0
Europe,UK,68497907.0,0.0,522526476.0,232112.0
Europe,Russia,145805947.0,175641.0,273400000.0,402756.0
Asia,Turkey,85561976.0,,162743369.0,102174.0
Oceania,Australia,26068792.0,8716.0,81916639.0,24414.0
Asia,Vietnam,98953541.0,941018.0,85826548.0,43206.0
